iter	Passed	Remaining
0	137	137835
1	139	69614
2	140	46847
3	142	35449
4	143	28580
5	144	23984
6	146	20714
7	147	18254
8	148	16337
9	149	14812
10	150	13555
11	152	12520
12	153	11666
13	154	10913
14	156	10267
15	157	9694
16	158	9188
17	160	8744
18	161	8340
19	162	7982
20	164	7661
21	165	7360
22	166	7084
23	168	6832
24	169	6596
25	170	6379
26	171	6176
27	172	5989
28	173	5815
29	174	5652
30	175	5500
31	177	5355
32	178	5222
33	179	5096
34	180	4978
35	181	4865
36	182	4755
37	183	4656
38	185	4561
39	186	4468
40	187	4380
41	188	4308
42	190	4240
43	191	4168
44	193	4098
45	194	4028
46	195	3962
47	196	3898
48	197	3837
49	198	3779
50	200	3722
51	201	3667
52	202	3624
53	204	3580
54	205	3535
55	206	3488
56	208	3444
57	209	3401
58	210	3356
59	211	3314
60	212	3274
61	213	3233
62	214	3196
63	216	3160
64	217	3125
65	218	3090
66	219	3057
67	220	3018
68	221	2985
69	222	2954
70	223	2924
71	224	2898
72	226	2871
73	227	2845
74	228	2819
75	229	2793
76	231	2772
77	232	2747
78	233	2723
79	234	2699
80	235	2675
81	236	2651
82	237	2628
83	239	2608
84	240	2585
85	241	2566
86	242	2543
87	243	2524
88	244	2505
89	245	2486
90	246	2467
91	248	2449
92	249	2434
93	251	2419
94	252	2403
95	253	2387
96	254	2370
97	255	2353
98	257	2339
99	258	2324
100	259	2312
101	260	2293
102	261	2279
103	262	2264
104	264	2250
105	265	2236
106	266	2224
107	267	2211
108	269	2198
109	270	2186
110	271	2172
111	272	2160
112	273	2147
113	274	2136
114	276	2124
115	277	2111
116	278	2100
117	279	2089
118	280	2075
119	281	2064
120	282	2053
121	283	2043
122	284	2029
123	285	2019
124	286	2008
125	288	1998
126	289	1988
127	290	1976
128	291	1967
129	292	1958
130	293	1948
131	295	1941
132	296	1932
133	297	1924
134	299	1916
135	300	1907
136	301	1898
137	302	1889
138	303	1882
139	305	1875
140	306	1866
141	307	1859
142	308	1851
143	310	1846
144	312	1840
145	313	1834
146	314	1826
147	316	1819
148	317	1811
149	318	1804
150	319	1796
151	320	1790
152	322	1783
153	323	1777
154	325	1772
155	326	1766
156	327	1759
157	328	1752
158	329	1745
159	331	1738
160	332	1731
161	333	1723
162	334	1716
163	335	1709
164	336	1703
165	337	1696
166	338	1689
167	339	1682
168	340	1676
169	341	1669
170	343	1663
171	344	1656
172	345	1650
173	346	1644
174	347	1637
175	348	1631
176	349	1626
177	350	1620
178	351	1614
179	353	1610
180	354	1602
181	355	1597
182	356	1591
183	357	1584
184	358	1578
185	359	1572
186	360	1566
187	361	1560
188	362	1553
189	363	1547
190	364	1541
191	364	1535
192	365	1529
193	366	1523
194	367	1517
195	368	1511
196	369	1505
197	370	1500
198	371	1494
199	372	1488
200	373	1483
201	374	1477
202	374	1471
203	375	1466
204	376	1460
205	377	1454
206	378	1449
207	379	1443
208	380	1438
209	381	1433
210	381	1428
211	382	1423
212	383	1418
213	384	1413
214	385	1408
215	386	1403
216	387	1398
217	388	1393
218	389	1388
219	390	1384
220	391	1379
221	392	1374
222	393	1369
223	394	1365
224	394	1360
225	395	1355
226	396	1351
227	397	1346
228	398	1341
229	399	1337
230	400	1333
231	401	1328
232	402	1324
233	403	1320
234	404	1315
235	405	1311
236	406	1307
237	406	1302
238	407	1298
239	408	1294
240	409	1290
241	410	1285
242	411	1281
243	412	1277
244	413	1273
245	414	1269
246	415	1265
247	415	1261
248	416	1257
249	417	1253
250	418	1249
251	419	1245
252	420	1241
253	421	1237
254	422	1233
255	423	1229
256	424	1226
257	425	1223
258	426	1219
259	427	1215
260	428	1211
261	428	1208
262	429	1204
263	430	1201
264	431	1197
265	432	1194
266	433	1190
267	434	1187
268	435	1183
269	436	1180
270	437	1176
271	438	1173
272	439	1169
273	440	1166
274	440	1162
275	441	1159
276	442	1155
277	443	1152
278	444	1148
279	445	1145
280	446	1142
281	447	1138
282	448	1135
283	449	1132
284	450	1129
285	451	1126
286	452	1123
287	453	1120
288	454	1117
289	455	1114
290	456	1111
291	457	1108
292	458	1105
293	458	1101
294	459	1099
295	460	1096
296	461	1093
297	462	1090
298	463	1087
299	464	1084
300	465	1080
301	466	1077
302	467	1074
303	468	1071
304	469	1068
305	470	1066
306	470	1063
307	471	1060
308	472	1057
309	473	1054
310	474	1051
311	475	1048
312	476	1045
313	477	1042
314	478	1039
315	479	1037
316	480	1034
317	480	1031
318	481	1028
319	482	1026
320	483	1023
321	484	1020
322	485	1017
323	486	1014
324	487	1012
325	488	1009
326	489	1006
327	490	1004
328	491	1001
329	491	998
330	492	996
331	493	993
332	494	990
333	495	988
334	496	985
335	497	983
336	498	980
337	499	978
338	500	975
339	501	973
340	502	970
341	503	968
342	504	965
343	505	963
344	506	960
345	506	958
346	507	955
347	508	953
348	509	950
349	510	948
350	511	945
351	512	943
352	513	941
353	514	938
354	515	936
355	516	933
356	517	931
357	518	929
358	519	926
359	519	924
360	520	921
361	521	919
362	522	917
363	523	914
364	524	912
365	525	910
366	526	908
367	527	905
368	528	903
369	529	901
370	530	898
371	531	896
372	531	894
373	532	891
374	533	889
375	534	887
376	535	885
377	536	882
378	537	880
379	538	878
380	539	876
381	540	873
382	541	871
383	542	869
384	543	867
385	543	865
386	544	863
387	545	860
388	546	858
389	547	856
390	548	854
391	549	852
392	550	850
393	551	848
394	552	845
395	553	843
396	554	841
397	554	839
398	555	837
399	556	835
400	557	832
401	558	830
402	559	828
403	560	826
404	561	824
405	562	822
406	563	820
407	563	818
408	564	816
409	565	814
410	566	812
411	567	810
412	568	807
413	569	805
414	570	803
415	571	801
416	572	799
417	572	797
418	573	795
419	574	793
420	575	791
421	576	789
422	577	787
423	578	785
424	579	783
425	580	781
426	581	779
427	582	777
428	582	775
429	583	773
430	584	772
431	585	770
432	586	768
433	587	766
434	588	764
435	589	762
436	590	760
437	591	758
438	592	756
439	593	755
440	594	753
441	595	751
442	596	749
443	597	747
444	597	745
445	598	743
446	599	742
447	600	740
448	601	738
449	602	736
450	603	734
451	604	732
452	605	731
453	606	729
454	607	727
455	608	725
456	609	723
457	610	722
458	611	720
459	612	718
460	613	716
461	614	715
462	614	713
463	615	711
464	616	709
465	617	707
466	618	706
467	619	704
468	620	702
469	621	700
470	622	699
471	623	697
472	624	695
473	625	693
474	626	691
475	626	690
476	627	688
477	628	686
478	629	684
479	630	683
480	631	681
481	632	679
482	633	677
483	634	676
484	635	674
485	636	672
486	637	671
487	638	669
488	638	667
489	639	666
490	640	664
491	641	662
492	642	660
493	643	659
494	644	657
495	645	655
496	646	654
497	647	652
498	648	650
499	649	649
500	650	647
501	650	645
502	651	644
503	652	642
504	653	640
505	654	639
506	655	637
507	656	635
508	657	634
509	658	632
510	659	630
511	660	629
512	661	627
513	662	626
514	663	624
